"detail_info" "mean" "std" "samplesize" "detectionfreq"
"57" "0_C_D_EColiCulturableColilert_MPNPer100ML_0_30" "14220" "10323.1630547301" "287" "12/287"
"58" "0_C_D_EColiCulturableColilert_MPNPer100ML_30_60" "13785.9259263333" "10795.7236300894" "296" "9/296"
"59" "0_C_D_enterococciCulturableMEI_CFUPer100ML_0_30" "178083.333333333" "153764.405582835" "308" "12/308"
"60" "0_C_D_enterococciCulturableMEI_CFUPer100ML_30_60" "142944.444444444" "173359.893798357" "317" "9/317"
"61" "0_C_D_Giardia_CystsPer100ml_0_30" "27623.2333333333" "45380.1487366815" "320" "3/320"
"62" "0_C_D_Giardia_CystsPer100ml_30_60" "3249.1" "3497.82681532405" "323" "3/323"
"63" "0_C_D_SalmonellaCulturableWildType_MPNPer100ml_0_30" "6" "5.19615242270663" "326" "1/326"
"64" "0_C_D_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "329" "0/329"
"65" "0_P_A_CampylobacterCulturable_MPNPer100ml_0_30" "20" "3.60555127546399" "332" "3/332"
"66" "0_P_A_CampylobacterCulturable_MPNPer100ml_30_60" "105.333333333333" "160.238364112136" "335" "2/335"
"67" "0_P_A_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "124.016666666667" "255.713585221174" "341" "4/341"
"68" "0_P_A_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "34.4333333333333" "28.3875559591405" "344" "3/344"
"69" "0_P_A_Crypto_OocystsPer100ml_0_30" NA NA "344" "3/344"
"70" "0_P_A_Crypto_OocystsPer100ml_30_60" NA NA "344" "3/344"
"71" "0_P_A_EColi0157Culturable_MPNPer100ml_0_30" NA NA "344" "3/344"
"72" "0_P_A_EColi0157Culturable_MPNPer100ml_30_60" NA NA "344" "3/344"
"73" "0_P_A_EColiCulturableColilert_MPNPer100ML_0_30" "29633.275" "21489.0895793158" "352" "8/352"
"74" "0_P_A_EColiCulturableColilert_MPNPer100ML_30_60" "35540.67083375" "19091.9856636815" "360" "8/360"
"75" "0_P_A_enterococciCulturableMEI_CFUPer100ML_0_30" "758888.888888889" "507972.549564552" "369" "9/369"
"76" "0_P_A_enterococciCulturableMEI_CFUPer100ML_30_60" "525062.5" "563798.750663745" "377" "8/377"
"77" "0_P_A_Giardia_CystsPer100ml_0_30" NA NA "377" "8/377"
"78" "0_P_A_Giardia_CystsPer100ml_30_60" NA NA "377" "8/377"
"79" "0_P_A_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "380" "0/380"
"80" "0_P_A_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "383" "0/383"
"81" "0_P_B_CampylobacterCulturable_MPNPer100ml_0_30" "3.2" "0.346410161513776" "386" "1/386"
"82" "0_P_B_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "389" "0/389"
"83" "0_P_B_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "1185.5" "1478.36771474488" "395" "6/395"
"84" "0_P_B_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "1033" "1112.05260666931" "398" "3/398"
"85" "0_P_B_Crypto_OocystsPer100ml_0_30" NA NA "398" "3/398"
"86" "0_P_B_Crypto_OocystsPer100ml_30_60" NA NA "398" "3/398"
"87" "0_P_B_EColi0157Culturable_MPNPer100ml_0_30" NA NA "398" "3/398"
"88" "0_P_B_EColi0157Culturable_MPNPer100ml_30_60" NA NA "398" "3/398"
"89" "0_P_B_EColiCulturableColilert_MPNPer100ML_0_30" "349.611111111111" "363.580054611238" "407" "7/407"
"90" "0_P_B_EColiCulturableColilert_MPNPer100ML_30_60" "272.766666666667" "382.464334938567" "416" "6/416"
"91" "0_P_B_enterococciCulturableMEI_CFUPer100ML_0_30" "23177.7777777778" "25151.7781567118" "425" "9/425"
"92" "0_P_B_enterococciCulturableMEI_CFUPer100ML_30_60" "34166.6666666667" "40270.7710380618" "434" "9/434"
"93" "0_P_B_Giardia_CystsPer100ml_0_30" NA NA "434" "9/434"
"94" "0_P_B_Giardia_CystsPer100ml_30_60" NA NA "434" "9/434"
"95" "0_P_B_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "437" "0/437"
"96" "0_P_B_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "440" "0/440"
"97" "0_P_C_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "443" "0/443"
"98" "0_P_C_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "446" "0/446"
"99" "0_P_C_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "232.2" "251.603259120386" "451" "5/451"
"100" "0_P_C_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "278.333333333333" "219.905282640807" "454" "3/454"
"101" "0_P_C_Crypto_OocystsPer100ml_0_30" NA NA "454" "3/454"
"102" "0_P_C_Crypto_OocystsPer100ml_30_60" NA NA "454" "3/454"
"103" "0_P_C_EColi0157Culturable_MPNPer100ml_0_30" NA NA "454" "3/454"
"104" "0_P_C_EColi0157Culturable_MPNPer100ml_30_60" NA NA "454" "3/454"
"105" "0_P_C_EColiCulturableColilert_MPNPer100ML_0_30" "129239.033333333" "88644.4144491845" "466" "12/466"
"106" "0_P_C_EColiCulturableColilert_MPNPer100ML_30_60" "139595.192592222" "85409.5868040475" "475" "9/475"
"107" "0_P_C_enterococciCulturableMEI_CFUPer100ML_0_30" "196041.666666667" "112987.420525339" "487" "12/487"
"108" "0_P_C_enterococciCulturableMEI_CFUPer100ML_30_60" "182000" "140225.933764051" "496" "9/496"
"109" "0_P_C_Giardia_CystsPer100ml_0_30" NA NA "496" "9/496"
"110" "0_P_C_Giardia_CystsPer100ml_30_60" NA NA "496" "9/496"
"111" "0_P_C_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "499" "0/499"
"112" "0_P_C_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "502" "0/502"
"113" "0_P_D_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "505" "0/505"
"114" "0_P_D_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "508" "0/508"
"115" "0_P_D_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "185.902" "99.9477722112904" "513" "5/513"
"116" "0_P_D_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "240.943333333333" "142.577692972405" "516" "3/516"
"117" "0_P_D_Crypto_OocystsPer100ml_0_30" NA NA "516" "3/516"
"118" "0_P_D_Crypto_OocystsPer100ml_30_60" NA NA "516" "3/516"
"119" "0_P_D_EColi0157Culturable_MPNPer100ml_0_30" NA NA "516" "3/516"
