SampleID,enterococciCulturableMEI_CFUPer100ML,DetectionLevel,,,,,
A-504-X-10,203000,WRC,,,,,
A-504-X-20,129000,WRC,,,,,
A-504-X-30,266000,WRC,,,,,
A-504-X-60,135000,WRC,,,,,
A-504-X-T1,160000,WRC,,,,,
A-105-X-5,64000,WRC,,,,,
A-105-X-10,48000,WR,,,,,
A-105-X-20,114000,WRC,,,,,
A-105-X-30,66000,WRC,,,,,
A-105-X-60,63000,WRC,,,,,
A-105-X-T1,62000,WRC,,,,,
A-201-P-5,10600000,WRC,,,,,
A-201-P-10,15100000,WRC,,,,,
A-201-P-20,9700000,WRC,,,,,
A-201-P-30,4200000,WR,,,,,
A-201-P-60,1180000,WRC,,,,,
A-201-P-T1,3600000,WR,,,,,
A-402-X-5,61000,WRC,,,,,
A-402-X-10,72000,WRC,,,,,
A-402-X-20,49000,WR,,,,,
A-402-X-30,15150,WRC,,,,,
A-402-X-60,16200,WRC,,,,,
A-402-X-T1,33000,WR,,,,,
A-401-S-5,94000,WRC,,,,,
A-401-S-10,74000,WRC,,,,,
A-401-S-20,79000,WRC,,,,,
A-401-S-30,65000,WRC,,,,,
A-401-S-60,56000,WR,,,,,
A-401-S-T1,56000,WR,,,,,
A-202-S-5,142000,WRC,,,,,
A-202-S-10,64000,WRC,,,,,
A-202-S-20,34000,WR,,,,,
A-202-S-30,25000,WR,,,,,
A-202-S-60,10650,WRC,,,,,
A-202-S-T1,13750,WRC,,,,,
A-404-P-5,620000,WRC,,,,,
A-404-P-10,1115000,WRC,,,,,
A-404-P-20,1810000,WRC,,,,,
A-404-P-30,290000,WR,,,,,
A-404-P-60,2000000,WR,,,,,
A-404-P-T1,507666.6667,WRC,,,,,
A-410-S-5,110000,WRC,,,,,
A-410-S-10,46000,WR,,,,,
A-410-S-20,40000,WR,,,,,
A-410-S-30,47000,WR,,,,,
A-410-S-60,57000,WR,,,,,
A-410-S-T1,<1,BDL,,,,,
A-403-C-5,370000,WR,,,,,
A-403-C-10,280000,WR,,,,,
A-403-C-20,390000,WR,,,,,
A-403-C-30,250000,WR,,,,,
A-403-C-60,114000,WRC,,,,,
A-403-C-T1,210000,WR,,,,,
A-409-C-5,250000,WR,,,,,
A-409-C-10,140000,WRC,,,,,
A-409-C-20,140000,WRC,,,,,
A-409-C-30,330000,WR,,,,,
A-409-C-60,190000,WRC,,,,,
A-409-C-T1,250000,WR,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
