SampleID,EColiCulturableColilert_MPNPer100ML,DetectionLevel,,,,,,,,,,,,,,,
A-202-S-T1,125.9,WR,,,,,,,,,,,,,,,
A-203-P-10,15290,WR,,,,,,,,,,,,,,,
A-203-P-20,25890,WR,,,,,,,,,,,,,,,
A-203-P-30,25890,WR,,,,,,,,,,,,,,,
A-203-P-5,13750,WR,,,,,,,,,,,,,,,
A-203-P-60,38730,WR,,,,,,,,,,,,,,,
A-203-P-T1,54750,WR,,,,,,,,,,,,,,,
A-204-X-10,2,WR,,,,,,,,,,,,,,,
A-204-X-20,2,WR,,,,,,,,,,,,,,,
A-204-X-30,2,WR,,,,,,,,,,,,,,,
A-204-X-5,65.5,WR,,,,,,,,,,,,,,,
A-204-X-60,51,WR,,,,,,,,,,,,,,,
A-204-X-T1,2,WR,,,,,,,,,,,,,,,
A-205-C-10,108305,WR,,,,,,,,,,,,,,,
A-205-C-20,86675,WR,,,,,,,,,,,,,,,
A-205-C-30,85035,WR,,,,,,,,,,,,,,,
A-205-C-5,162060,WR,,,,,,,,,,,,,,,
A-205-C-60,40730,WR,,,,,,,,,,,,,,,
A-205-C-T1,45410,WR,,,,,,,,,,,,,,,
A-206-P-10,60420,WR,,,,,,,,,,,,,,,
A-206-P-20,61210,WR,,,,,,,,,,,,,,,
A-206-P-30,32575,WR,,,,,,,,,,,,,,,
A-206-P-5,66726.66667,WR,,,,,,,,,,,,,,,
A-206-P-60,30500,WR,,,,,,,,,,,,,,,
A-206-P-T1,43970,WR,,,,,,,,,,,,,,,
A-209-C-10,1110,WR,,,,,,,,,,,,,,,
A-209-C-20,980,WR,,,,,,,,,,,,,,,
A-209-C-30,1660,WR,,,,,,,,,,,,,,,
A-209-C-5,680,WR,,,,,,,,,,,,,,,
A-209-C-60,1155,WR,,,,,,,,,,,,,,,
A-209-C-T1,520,WR,,,,,,,,,,,,,,,
A-210-S-10,397.1,WR,,,,,,,,,,,,,,,
A-210-S-20,668.85,WR,,,,,,,,,,,,,,,
A-210-S-30,549.25,WR,,,,,,,,,,,,,,,
A-210-S-5,165.2666667,WR,,,,,,,,,,,,,,,
A-210-S-60,125.5,WR,,,,,,,,,,,,,,,
A-210-S-T1,291.85,WR,,,,,,,,,,,,,,,
A-307-C-10,1730,WR,,,,,,,,,,,,,,,
A-307-C-20,760,WR,,,,,,,,,,,,,,,
A-307-C-30,3870,WR,,,,,,,,,,,,,,,
A-307-C-5,1053.333333,WR,,,,,,,,,,,,,,,
A-307-C-60,310,WR,,,,,,,,,,,,,,,
A-307-C-T1,2040,WR,,,,,,,,,,,,,,,
A-308-X-10,0.5,BDL,,,,,,,,,,,,,,,
A-308-X-20,0.5,BDL,,,,,,,,,,,,,,,
A-308-X-30,0.5,BDL,,,,,,,,,,,,,,,
A-308-X-5,0.5,BDL,,,,,,,,,,,,,,,
A-308-X-60,0.5,BDL,,,,,,,,,,,,,,,
A-308-X-T1,0.5,BDL,,,,,,,,,,,,,,,
A-401-S-10,173.8,WR,,,,,,,,,,,,,,,
A-401-S-20,342.7,WR,,,,,,,,,,,,,,,
A-401-S-30,253.7,WR,,,,,,,,,,,,,,,
A-401-S-5,116.9333333,WR,,,,,,,,,,,,,,,
A-401-S-60,61.6,WR,,,,,,,,,,,,,,,
A-401-S-T1,166.9,WR,,,,,,,,,,,,,,,
A-402-X-10,7497.9,WR,,,,,,,,,,,,,,,
A-402-X-20,5397.9,WR,,,,,,,,,,,,,,,
A-402-X-30,8600,WR,,,,,,,,,,,,,,,
A-402-X-5,1500.933333,WR,,,,,,,,,,,,,,,
A-402-X-60,3740,WR,,,,,,,,,,,,,,,
A-402-X-T1,6630,WR,,,,,,,,,,,,,,,
A-403-C-10,26365,WR,,,,,,,,,,,,,,,
A-403-C-20,23095,WR,,,,,,,,,,,,,,,
A-403-C-30,22370,WR,,,,,,,,,,,,,,,
A-403-C-5,23620,WR,,,,,,,,,,,,,,,
A-403-C-60,16290,WR,,,,,,,,,,,,,,,
A-403-C-T1,14685,WR,,,,,,,,,,,,,,,
A-404-P-10,18030,WR,,,,,,,,,,,,,,,
A-404-P-20,13895,WR,,,,,,,,,,,,,,,
A-404-P-30,9565,WR,,,,,,,,,,,,,,,
A-404-P-5,4736.666667,WR,,,,,,,,,,,,,,,
A-404-P-60,3115,WR,,,,,,,,,,,,,,,
A-404-P-T1,3675,WR,,,,,,,,,,,,,,,
A-405-X-10,51,WR,,,,,,,,,,,,,,,
A-405-X-20,21.8,WR,,,,,,,,,,,,,,,
A-405-X-30,4,WR,,,,,,,,,,,,,,,
A-405-X-5,0.5,BDL,,,,,,,,,,,,,,,
A-405-X-60,54.1,WR,,,,,,,,,,,,,,,
A-405-X-T1,17,WR,,,,,,,,,,,,,,,
A-406-S-10,735.4,WR,,,,,,,,,,,,,,,
A-406-S-20,330.9,WR,,,,,,,,,,,,,,,
A-406-S-30,166.2,WR,,,,,,,,,,,,,,,
A-406-S-5,315.2,WR,,,,,,,,,,,,,,,
A-406-S-60,127.6,WR,,,,,,,,,,,,,,,
A-406-S-T1,133.9,WR,,,,,,,,,,,,,,,
A-407-X-10,2,WR,,,,,,,,,,,,,,,
A-407-X-20,2,WR,,,,,,,,,,,,,,,
A-407-X-30,4,WR,,,,,,,,,,,,,,,
A-407-X-5,2,WR,,,,,,,,,,,,,,,
A-407-X-60,0.5,BDL,,,,,,,,,,,,,,,
A-407-X-T1,4,WR,,,,,,,,,,,,,,,
A-408-P-10,36690,WR,,,,,,,,,,,,,,,
A-408-P-20,8590,WR,,,,,,,,,,,,,,,
A-408-P-30,5365,WR,,,,,,,,,,,,,,,
A-408-P-5,11866.66667,WR,,,,,,,,,,,,,,,
A-408-P-60,1660,WR,,,,,,,,,,,,,,,
A-408-P-T1,3845,WR,,,,,,,,,,,,,,,
A-409-C-10,9445,WR,,,,,,,,,,,,,,,
A-409-C-20,8110,WR,,,,,,,,,,,,,,,
A-409-C-30,9000,WR,,,,,,,,,,,,,,,
A-409-C-5,8410,WR,,,,,,,,,,,,,,,
A-409-C-60,3510,WR,,,,,,,,,,,,,,,
A-409-C-T1,6310,WR,,,,,,,,,,,,,,,
A-410-S-10,110.9,WR,,,,,,,,,,,,,,,
A-410-S-20,4,WR,,,,,,,,,,,,,,,
A-410-S-30,108.5,WR,,,,,,,,,,,,,,,
A-410-S-5,4,WR,,,,,,,,,,,,,,,
A-410-S-60,19.6,WR,,,,,,,,,,,,,,,
A-410-S-T1,4,WR,,,,,,,,,,,,,,,
A-411-S-10,75.9,WR,,,,,,,,,,,,,,,
A-411-S-20,45.6,WR,,,,,,,,,,,,,,,
A-411-S-30,67.1,WR,,,,,,,,,,,,,,,
A-411-S-5,26.4,WR,,,,,,,,,,,,,,,
A-411-S-60,19.6,WR,,,,,,,,,,,,,,,
A-411-S-T1,17.2,WR,,,,,,,,,,,,,,,
A-412-C-10,860,WR,,,,,,,,,,,,,,,
A-412-C-20,2880,WR,,,,,,,,,,,,,,,
A-412-C-30,1429.1,WR,,,,,,,,,,,,,,,
