SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRunoffStarted_Minutes,Notes
D-409-C-30,409,D,1,R_409_D,M_C_Day3_D_Spiked,403,30,
D-409-C-30-T1,409,D,2,R_409_D,M_C_Day3_D_Spiked,0,30,
D-409-C-30-T2,409,D,2,R_409_D,M_C_Day3_D_Spiked,0,30,
D-409-C-60,409,D,1,R_409_D,M_C_Day3_D_Spiked,441,60,
D-409-C-T1,409,D,2,R_409_D,M_C_Day3_D_Spiked,467,60,
D-409-C-T2,409,D,2,R_409_D,M_C_Day3_D_Spiked,3662,60,
D-410-S-5,410,D,1,R_410_D,M_S_Day3_D_Spiked,455,5,
D-410-S-10,410,D,1,R_410_D,M_S_Day3_D_Spiked,429,10,
D-410-S-15,410,D,1,R_410_D,M_S_Day3_D_Spiked,513,15,
D-410-S-20,410,D,1,R_410_D,M_S_Day3_D_Spiked,466,20,
D-410-S-30,410,D,1,R_410_D,M_S_Day3_D_Spiked,445,30,
D-410-S-30-T1,410,D,2,R_410_D,M_S_Day3_D_Spiked,313,30,
D-410-S-30-T2,410,D,2,R_410_D,M_S_Day3_D_Spiked,0,30,
D-410-S-60,410,D,1,R_410_D,M_S_Day3_D_Spiked,479,60,
D-410-S-T1,410,D,2,R_410_D,M_S_Day3_D_Spiked,485,60,
D-410-S-T2,410,D,2,R_410_D,M_S_Day3_D_Spiked,4562,60,
