SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRunoffStarted_Minutes,Notes
D-206-P-T1,206,D,2,R_206_D,M_P_Day2_D_Spiked,468,60,
D-206-P-T2,206,D,2,R_206_D,M_P_Day2_D_Spiked,10862,60,
D-405-X-5,405,D,1,R_405_D,M_X_Day3_D,668,5,
D-405-X-10,405,D,1,R_405_D,M_X_Day3_D,703,10,
D-405-X-15,405,D,1,R_405_D,M_X_Day3_D,998,15,
D-405-X-20,405,D,1,R_405_D,M_X_Day3_D,927,20,
D-405-X-30,405,D,1,R_405_D,M_X_Day3_D,716,30,
D-405-X-30-T1,405,D,2,R_405_D,M_X_Day3_D,850,30,
D-405-X-30-T2,405,D,2,R_405_D,M_X_Day3_D,9362,30,
D-405-X-60,405,D,1,R_405_D,M_X_Day3_D,837,60,
D-405-X-T1,405,D,2,R_405_D,M_X_Day3_D,732,60,
D-405-X-T2,405,D,2,R_405_D,M_X_Day3_D,10762,60,
D-406-S-5,406,D,1,R_406_D,M_P_Day3_D_Spiked,844,5,
D-406-S-10,406,D,1,R_406_D,M_P_Day3_D_Spiked,677,10,
D-406-S-15,406,D,1,R_406_D,M_P_Day3_D_Spiked,963,15,
D-406-S-20,406,D,1,R_406_D,M_P_Day3_D_Spiked,824,20,
D-406-S-30,406,D,1,R_406_D,M_P_Day3_D_Spiked,801,30,
D-406-S-30-T1,406,D,2,R_406_D,M_P_Day3_D_Spiked,638,30,
D-406-S-30-T2,406,D,2,R_406_D,M_P_Day3_D_Spiked,8162,30,
D-406-S-60,406,D,1,R_406_D,M_P_Day3_D_Spiked,829,60,
D-406-S-T1,406,D,2,R_406_D,M_P_Day3_D_Spiked,734,60,
D-406-S-T2,406,D,2,R_406_D,M_P_Day3_D_Spiked,10362,60,
D-411-S-5,411,D,1,R_411_D,M_S_Day3_D_Spiked,492,5,
D-411-S-10,411,D,1,R_411_D,M_S_Day3_D_Spiked,501,10,
D-411-S-15,411,D,1,R_411_D,M_S_Day3_D_Spiked,970,15,
D-411-S-20,411,D,1,R_411_D,M_S_Day3_D_Spiked,555,20,
D-411-S-30,411,D,1,R_411_D,M_S_Day3_D_Spiked,588,30,
D-411-S-30-T1,411,D,2,R_411_D,M_S_Day3_D_Spiked,392,30,
D-411-S-30-T2,411,D,2,R_411_D,M_S_Day3_D_Spiked,2862,30,
D-411-S-60,411,D,1,R_411_D,M_S_Day3_D_Spiked,616,60,
D-411-S-T1,411,D,2,R_411_D,M_S_Day3_D_Spiked,463,60,
D-411-S-T2,411,D,2,R_411_D,M_S_Day3_D_Spiked,4862,60,
D-412-C-5,412,D,1,R_412_D,M_C_Day3_D_Spiked,398,5,
D-412-C-10,412,D,1,R_412_D,M_C_Day3_D_Spiked,453,10,
D-412-C-15,412,D,1,R_412_D,M_C_Day3_D_Spiked,901,15,
D-412-C-20,412,D,1,R_412_D,M_C_Day3_D_Spiked,436,20,
D-412-C-30,412,D,1,R_412_D,M_C_Day3_D_Spiked,403,30,
D-412-C-30-T1,412,D,2,R_412_D,M_C_Day3_D_Spiked,436,30,
D-412-C-30-T2,412,D,2,R_412_D,M_C_Day3_D_Spiked,3862,30,
D-412-C-60,412,D,1,R_412_D,M_C_Day3_D_Spiked,481,60,
D-412-C-T1,412,D,2,R_412_D,M_C_Day3_D_Spiked,523,60,
D-412-C-T2,412,D,2,R_412_D,M_C_Day3_D_Spiked,8262,60,
D-502-S-5,502,D,1,R_502_D,M_X_Day1_D,803,5,
D-502-S-10,502,D,1,R_502_D,M_X_Day1_D,826,10,
D-502-S-15,502,D,1,R_502_D,M_X_Day1_D,964,15,
D-502-S-20,502,D,1,R_502_D,M_X_Day1_D,839,20,
D-502-S-30,502,D,1,R_502_D,M_X_Day1_D,841,30,
D-502-S-30-T1,502,D,2,R_502_D,M_X_Day1_D,606,30,
D-502-S-30-T2,502,D,2,R_502_D,M_X_Day1_D,10562,30,
D-502-S-60,502,D,1,R_502_D,M_X_Day1_D,764,60,
D-502-S-T1,502,D,2,R_502_D,M_X_Day1_D,602,60,
D-502-S-T2,502,D,2,R_502_D,M_X_Day1_D,10062,60,
D-501-X-5,501,D,1,R_501_D,M_S_Day1_D_Spiked,715,5,
D-501-X-10,501,D,1,R_501_D,M_S_Day1_D_Spiked,708,10,
D-501-X-15,501,D,1,R_501_D,M_S_Day1_D_Spiked,975,15,
D-501-X-20,501,D,1,R_501_D,M_S_Day1_D_Spiked,703,20,
D-501-X-30,501,D,1,R_501_D,M_S_Day1_D_Spiked,648,30,
D-501-X-30-T1,501,D,2,R_501_D,M_S_Day1_D_Spiked,648,30,
D-501-X-30-T2,501,D,2,R_501_D,M_S_Day1_D_Spiked,9362,30,
D-501-X-60,501,D,1,R_501_D,M_S_Day1_D_Spiked,691,60,
D-501-X-T1,501,D,2,R_501_D,M_S_Day1_D_Spiked,570,60,
D-501-X-T2,501,D,2,R_501_D,M_S_Day1_D_Spiked,10062,60,
D-107-C-5,107,D,1,R_107_D,M_C_Day1_D_Spiked,604,5,
D-107-C-10,107,D,1,R_107_D,M_C_Day1_D_Spiked,492,10,
D-107-C-15,107,D,1,R_107_D,M_C_Day1_D_Spiked,950,15,
D-107-C-20,107,D,1,R_107_D,M_C_Day1_D_Spiked,496,20,
D-107-C-30,107,D,1,R_107_D,M_C_Day1_D_Spiked,497,30,
D-107-C-30-T1,107,D,2,R_107_D,M_C_Day1_D_Spiked,495,30,
D-107-C-30-T2,107,D,2,R_107_D,M_C_Day1_D_Spiked,9562,30,
D-107-C-60,107,D,1,R_107_D,M_C_Day1_D_Spiked,537,60,
D-107-C-T1,107,D,2,R_107_D,M_C_Day1_D_Spiked,480,60,
D-107-C-T2,107,D,2,R_107_D,M_C_Day1_D_Spiked,9562,60,
D-108-P-5,108,D,1,R_108_D,M_P_Day1_D_Spiked,463,5,
D-108-P-10,108,D,1,R_108_D,M_P_Day1_D_Spiked,449,10,
D-108-P-15,108,D,1,R_108_D,M_P_Day1_D_Spiked,942,15,
D-108-P-20,108,D,1,R_108_D,M_P_Day1_D_Spiked,458,20,
D-108-P-30,108,D,1,R_108_D,M_P_Day1_D_Spiked,457,30,
D-108-P-30-T1,108,D,2,R_108_D,M_P_Day1_D_Spiked,438,30,
D-108-P-30-T2,108,D,2,R_108_D,M_P_Day1_D_Spiked,7462,30,
D-108-P-60,108,D,1,R_108_D,M_P_Day1_D_Spiked,430,60,
D-108-P-T1,108,D,2,R_108_D,M_P_Day1_D_Spiked,597,60,
D-108-P-T2,108,D,2,R_108_D,M_P_Day1_D_Spiked,8562,60,
D-209-C-5,209,D,1,R_209_D,M_C_Day2_D_Spiked,519,5,
D-209-C-10,209,D,1,R_209_D,M_C_Day2_D_Spiked,581,10,
D-209-C-15,209,D,1,R_209_D,M_C_Day2_D_Spiked,979,15,
D-209-C-20,209,D,1,R_209_D,M_C_Day2_D_Spiked,585,20,
D-209-C-30,209,D,1,R_209_D,M_C_Day2_D_Spiked,613,30,
D-209-C-30-T1,209,D,2,R_209_D,M_C_Day2_D_Spiked,517,30,
D-209-C-30-T2,209,D,2,R_209_D,M_C_Day2_D_Spiked,2662,30,
D-209-C-60,209,D,1,R_209_D,M_C_Day2_D_Spiked,638,60,
D-209-C-T1,209,D,2,R_209_D,M_C_Day2_D_Spiked,576,60,
D-209-C-T2,209,D,2,R_209_D,M_C_Day2_D_Spiked,10262,60,
D-210-S-5,210,D,1,R_210_D,M_S_Day2_D_Spiked,660,5,
D-210-S-10,210,D,1,R_210_D,M_S_Day2_D_Spiked,568,10,
D-210-S-15,210,D,1,R_210_D,M_S_Day2_D_Spiked,968,15,
D-210-S-20,210,D,1,R_210_D,M_S_Day2_D_Spiked,657,20,
D-210-S-30,210,D,1,R_210_D,M_S_Day2_D_Spiked,638,30,
D-210-S-30-T1,210,D,2,R_210_D,M_S_Day2_D_Spiked,536,30,
D-210-S-30-T2,210,D,2,R_210_D,M_S_Day2_D_Spiked,2962,30,
D-210-S-60,210,D,1,R_210_D,M_S_Day2_D_Spiked,669,60,
D-210-S-T1,210,D,2,R_210_D,M_S_Day2_D_Spiked,639,60,
D-210-S-T2,210,D,2,R_210_D,M_S_Day2_D_Spiked,10562,60,
D-111-S-5,111,D,1,R_111_D,M_S_Day2_D_Spiked,450,5,
D-111-S-10,111,D,1,R_111_D,M_S_Day2_D_Spiked,487,10,
D-111-S-15,111,D,1,R_111_D,M_S_Day2_D_Spiked,972,15,
D-111-S-20,111,D,1,R_111_D,M_S_Day2_D_Spiked,481,20,
D-111-S-30,111,D,1,R_111_D,M_S_Day2_D_Spiked,480,30,
D-111-S-30-T1,111,D,2,R_111_D,M_S_Day2_D_Spiked,451,30,
D-111-S-30-T2,111,D,2,R_111_D,M_S_Day2_D_Spiked,4562,30,
D-111-S-60,111,D,1,R_111_D,M_S_Day2_D_Spiked,451,60,
D-111-S-T1,111,D,2,R_111_D,M_S_Day2_D_Spiked,551,60,
D-111-S-T2,111,D,2,R_111_D,M_S_Day2_D_Spiked,862,60,
D-112-P-5,112,D,1,R_112_D,M_P_Day2_D_Spiked,432,5,
D-112-P-10,112,D,1,R_112_D,M_P_Day2_D_Spiked,489,10,
D-112-P-15,112,D,1,R_112_D,M_P_Day2_D_Spiked,935,15,
D-112-P-20,112,D,1,R_112_D,M_P_Day2_D_Spiked,451,20,
D-112-P-30,112,D,1,R_112_D,M_P_Day2_D_Spiked,453,30,
D-112-P-30-T1,112,D,2,R_112_D,M_P_Day2_D_Spiked,424,30,
D-112-P-30-T2,112,D,2,R_112_D,M_P_Day2_D_Spiked,3462,30,
D-112-P-60,112,D,1,R_112_D,M_P_Day2_D_Spiked,469,60,
D-112-P-T1,112,D,2,R_112_D,M_P_Day2_D_Spiked,459,60,
D-112-P-T2,112,D,2,R_112_D,M_P_Day2_D_Spiked,8562,60,
D-307-C-5,307,D,1,R_307_D,M_C_Day3_D_Spiked,488,5,
D-307-C-10,307,D,1,R_307_D,M_C_Day3_D_Spiked,458,10,
D-307-C-15,307,D,1,R_307_D,M_C_Day3_D_Spiked,980,15,
D-307-C-20,307,D,1,R_307_D,M_C_Day3_D_Spiked,461,20,
D-307-C-30,307,D,1,R_307_D,M_C_Day3_D_Spiked,457,30,
D-307-C-30-T1,307,D,2,R_307_D,M_C_Day3_D_Spiked,447,30,
D-307-C-30-T2,307,D,2,R_307_D,M_C_Day3_D_Spiked,8362,30,
D-307-C-60,307,D,1,R_307_D,M_C_Day3_D_Spiked,479,60,
D-307-C-T1,307,D,2,R_307_D,M_C_Day3_D_Spiked,505,60,
D-307-C-T2,307,D,2,R_307_D,M_C_Day3_D_Spiked,10062,60,
D-308-X-5,308,D,1,R_308_D,M_X_Day3_D,436,5,
D-308-X-10,308,D,1,R_308_D,M_X_Day3_D,488,10,
D-308-X-15,308,D,1,R_308_D,M_X_Day3_D,954,15,
D-308-X-20,308,D,1,R_308_D,M_X_Day3_D,454,20,
D-308-X-30,308,D,1,R_308_D,M_X_Day3_D,459,30,
D-308-X-30-T1,308,D,2,R_308_D,M_X_Day3_D,508,30,
D-308-X-30-T2,308,D,2,R_308_D,M_X_Day3_D,7362,30,
D-308-X-60,308,D,1,R_308_D,M_X_Day3_D,453,60,
D-308-X-T1,308,D,2,R_308_D,M_X_Day3_D,506,60,
D-308-X-T2,308,D,2,R_308_D,M_X_Day3_D,10062,60,
D-407-X-5,407,D,1,R_407_D,M_X_Day3_D,580,5,
D-407-X-10,407,D,1,R_407_D,M_X_Day3_D,631,10,
D-407-X-15,407,D,1,R_407_D,M_X_Day3_D,966,15,
D-407-X-20,407,D,1,R_407_D,M_X_Day3_D,650,20,
D-407-X-30,407,D,1,R_407_D,M_X_Day3_D,612,30,
D-407-X-30-T1,407,D,2,R_407_D,M_X_Day3_D,458,30,
D-407-X-30-T2,407,D,2,R_407_D,M_X_Day3_D,5362,30,
D-407-X-60,407,D,1,R_407_D,M_X_Day3_D,535,60,
D-407-X-T1,407,D,2,R_407_D,M_X_Day3_D,519,60,
D-407-X-T2,407,D,2,R_407_D,M_X_Day3_D,10862,60,
D-408-P-5,408,D,1,R_408_D,M_P_Day3_D_Spiked,254,5,
