SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
C-412-C-60,R_412_C,412,C,223,60,18.99
C-412-C-T1,R_412_C,412,C,228,60,18.99
C-412-C-T2,R_412_C,412,C,228,60,18.99
C-502-S-5,R_502_C,502,C,84,5,1.10
C-502-S-10,R_502_C,502,C,89,10,2.63
C-502-S-15,R_502_C,502,C,94,15,4.63
C-502-S-20,R_502_C,502,C,99,20,6.88
C-502-S-30,R_502_C,502,C,109,30,12.36
C-502-S-30-T1,R_502_C,502,C,114,30,12.36
C-502-S-30-T2,R_502_C,502,C,114,30,12.36
C-502-S-60,R_502_C,502,C,139,60,32.09
C-502-S-T1,R_502_C,502,C,144,60,32.09
C-502-S-T2,R_502_C,502,C,144,60,32.09
C-501-X-5,R_501_C,501,C,145,5,0.39
C-501-X-10,R_501_C,501,C,150,10,0.78
C-501-X-15,R_501_C,501,C,155,15,1.54
C-501-X-20,R_501_C,501,C,160,20,2.41
C-501-X-30,R_501_C,501,C,170,30,4.18
C-501-X-30-T1,R_501_C,501,C,175,30,4.18
C-501-X-30-T2,R_501_C,501,C,175,30,4.18
C-501-X-60,R_501_C,501,C,200,60,11.84
C-501-X-T1,R_501_C,501,C,205,60,11.84
C-501-X-T2,R_501_C,501,C,205,60,11.84
C-107-C-5,R_107_C,107,C,160,5,0.32
C-107-C-10,R_107_C,107,C,165,10,0.68
C-107-C-15,R_107_C,107,C,170,15,1.11
C-107-C-20,R_107_C,107,C,175,20,1.57
C-107-C-30,R_107_C,107,C,185,30,2.96
C-107-C-30-T1,R_107_C,107,C,190,30,2.96
C-107-C-30-T2,R_107_C,107,C,190,30,2.96
C-107-C-60,R_107_C,107,C,215,60,9.54
C-107-C-T1,R_107_C,107,C,220,60,9.54
C-107-C-T2,R_107_C,107,C,220,60,9.54
C-108-P-5,R_108_C,108,C,150,5,0.35
C-108-P-10,R_108_C,108,C,155,10,0.66
C-108-P-15,R_108_C,108,C,160,15,1.42
C-108-P-20,R_108_C,108,C,165,20,2.28
C-108-P-30,R_108_C,108,C,175,30,4.30
C-108-P-30-T1,R_108_C,108,C,180,30,4.30
C-108-P-30-T2,R_108_C,108,C,180,30,4.30
C-108-P-60,R_108_C,108,C,205,60,14.13
C-108-P-T1,R_108_C,108,C,210,60,14.13
C-108-P-T2,R_108_C,108,C,210,60,14.13
C-209-C-5,R_209_C,209,C,139,5,0.61
C-209-C-10,R_209_C,209,C,144,10,1.67
C-209-C-15,R_209_C,209,C,149,15,2.72
C-209-C-20,R_209_C,209,C,154,20,4.32
C-209-C-30,R_209_C,209,C,164,30,7.91
C-209-C-30-T1,R_209_C,209,C,169,30,7.91
C-209-C-30-T2,R_209_C,209,C,169,30,7.91
C-209-C-60,R_209_C,209,C,194,60,22.95
C-209-C-T1,R_209_C,209,C,199,60,22.95
C-209-C-T2,R_209_C,209,C,199,60,22.95
C-210-S-5,R_210_C,210,C,155,5,0.92
C-210-S-10,R_210_C,210,C,160,10,2.25
C-210-S-15,R_210_C,210,C,165,15,3.94
C-210-S-20,R_210_C,210,C,170,20,5.97
C-210-S-30,R_210_C,210,C,180,30,10.92
C-210-S-30-T1,R_210_C,210,C,185,30,10.92
C-210-S-30-T2,R_210_C,210,C,185,30,10.92
C-210-S-60,R_210_C,210,C,210,60,30.33
C-210-S-T1,R_210_C,210,C,215,60,30.33
C-210-S-T2,R_210_C,210,C,215,60,30.33
C-111-S-5,R_111_C,111,C,139,5,0.80
C-111-S-10,R_111_C,111,C,144,10,1.93
C-111-S-15,R_111_C,111,C,149,15,3.36
C-111-S-20,R_111_C,111,C,154,20,5.13
C-111-S-30,R_111_C,111,C,164,30,9.08
C-111-S-30-T1,R_111_C,111,C,169,30,9.08
C-111-S-30-T2,R_111_C,111,C,169,30,9.08
C-111-S-60,R_111_C,111,C,194,60,25.79
C-111-S-T1,R_111_C,111,C,199,60,25.79
C-111-S-T2,R_111_C,111,C,199,60,25.79
C-112-P-5,R_112_C,112,C,143,5,0.82
C-112-P-10,R_112_C,112,C,148,10,2.08
C-112-P-15,R_112_C,112,C,153,15,3.84
C-112-P-20,R_112_C,112,C,158,20,5.90
C-112-P-30,R_112_C,112,C,168,30,10.73
C-112-P-30-T1,R_112_C,112,C,173,30,10.73
C-112-P-30-T2,R_112_C,112,C,173,30,10.73
C-112-P-60,R_112_C,112,C,198,60,28.62
C-112-P-T1,R_112_C,112,C,203,60,28.62
C-112-P-T2,R_112_C,112,C,203,60,28.62
C-307-C-5,R_307_C,307,C,100,5,1.09
C-307-C-10,R_307_C,307,C,105,10,2.41
C-307-C-15,R_307_C,307,C,110,15,4.18
C-307-C-20,R_307_C,307,C,115,20,6.28
C-307-C-30,R_307_C,307,C,125,30,10.79
C-307-C-30-T1,R_307_C,307,C,130,30,10.79
C-307-C-30-T2,R_307_C,307,C,130,30,10.79
C-307-C-60,R_307_C,307,C,155,60,25.95
C-307-C-T1,R_307_C,307,C,160,60,25.95
C-307-C-T2,R_307_C,307,C,160,60,25.95
C-308-X-5,R_308_C,308,C,100,5,0.86
C-308-X-10,R_308_C,308,C,105,10,2.07
C-308-X-15,R_308_C,308,C,110,15,3.50
