plot,day,week
101,1,0
102,1,0
109,1,0
110,1,0
501,1,1
502,1,1
107,1,1
108,1,1
105,1,2
106,1,2
503,1,2
504,1,2
203,2,0
204,2,0
205,2,0
206,2,0
111,2,1
112,2,1
209,2,1
210,2,1
201,2,2
202,2,2
401,2,2
402,2,2
405,3,0
406,3,0
411,3,0
412,3,0
307,3,1
308,3,1
407,3,1
408,3,1
403,3,2
404,3,2
409,3,2
410,3,2
