SampleID,enterococciQPCR_GU100ML,DetectionLevel
C-202-S-20,,ANP
C-202-S-30,,ANP
C-202-S-30-T1,,ANP
C-202-S-60,,ANP
C-202-S-T1,,ANP
C-403-C-5,,ANP
C-403-C-10,,ANP
C-403-C-20,,ANP
C-403-C-30,,ANP
C-403-C-30-T1,,ANP
C-403-C-60,,ANP
C-403-C-T1,,ANP
C-404-P-5,,ANP
C-404-P-10,,ANP
C-404-P-20,,ANP
C-404-P-30,,ANP
C-404-P-30-T1,,ANP
C-404-P-60,,ANP
C-404-P-T1,,ANP
C-409-C-5,,ANP
C-409-C-10,,ANP
C-409-C-20,,ANP
C-409-C-30,,ANP
C-409-C-30-T1,,ANP
C-409-C-60,,ANP
C-409-C-T1,,ANP
C-410-S-5,,ANP
C-410-S-10,,ANP
C-410-S-20,,ANP
C-410-S-30,,ANP
C-410-S-30-T1,,ANP
C-410-S-60,,ANP
C-410-S-T1,,ANP
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
