SampleID,,DetectionLevel,,,,,
D-402-X-30,,ANP,,,,,
D-402-X-30-T1,,ANP,,,,,
D-402-X-5,,ANP,,,,,
D-402-X-60,,ANP,,,,,
D-402-X-T1,,ANP,,,,,
D-403-C-10,,ANP,,,,,
D-403-C-20,,ANP,,,,,
D-403-C-30,,ANP,,,,,
D-403-C-30-T1,,ANP,,,,,
D-403-C-5,,ANP,,,,,
D-403-C-60,,ANP,,,,,
D-403-C-T1,,ANP,,,,,
D-404-P-10,,ANP,,,,,
D-404-P-20,,ANP,,,,,
D-404-P-30,,ANP,,,,,
D-404-P-30-T1,,ANP,,,,,
D-404-P-5,,ANP,,,,,
D-404-P-60,,ANP,,,,,
D-404-P-T1,,ANP,,,,,
D-405-X-10,,ANP,,,,,
D-405-X-20,,ANP,,,,,
D-405-X-30,,ANP,,,,,
D-405-X-30-T1,,ANP,,,,,
D-405-X-5,,ANP,,,,,
D-405-X-60,,ANP,,,,,
D-405-X-T1,,ANP,,,,,
D-406-S-10,,ANP,,,,,
D-406-S-20,,ANP,,,,,
D-406-S-30,,ANP,,,,,
D-406-S-30-T1,,ANP,,,,,
D-406-S-5,,ANP,,,,,
D-406-S-60,,ANP,,,,,
D-406-S-T1,,ANP,,,,,
D-407-X-10,,ANP,,,,,
D-407-X-20,,ANP,,,,,
D-407-X-30,,ANP,,,,,
D-407-X-30-T1,,ANP,,,,,
D-407-X-5,,ANP,,,,,
D-407-X-60,,ANP,,,,,
D-407-X-T1,,ANP,,,,,
D-408-P-10,,ANP,,,,,
D-408-P-20,,ANP,,,,,
D-408-P-30,,ANP,,,,,
D-408-P-30-T1,,ANP,,,,,
D-408-P-5,,ANP,,,,,
D-408-P-60,,ANP,,,,,
D-408-P-T1,,ANP,,,,,
D-409-C-10,,ANP,,,,,
D-409-C-20,,ANP,,,,,
D-409-C-30,,ANP,,,,,
D-409-C-30-T1,,ANP,,,,,
D-409-C-5,,ANP,,,,,
D-409-C-60,,ANP,,,,,
D-409-C-T1,,ANP,,,,,
D-410-S-10,,ANP,,,,,
D-410-S-20,,ANP,,,,,
D-410-S-30,,ANP,,,,,
D-410-S-30-T1,,ANP,,,,,
D-410-S-5,,ANP,,,,,
D-410-S-60,,ANP,,,,,
D-410-S-T1,,ANP,,,,,
D-411-S-10,,ANP,,,,,
D-411-S-20,,ANP,,,,,
D-411-S-30,,ANP,,,,,
D-411-S-30-T1,,ANP,,,,,
D-411-S-5,,ANP,,,,,
D-411-S-60,,ANP,,,,,
D-411-S-T1,,ANP,,,,,
D-412-C-10,,ANP,,,,,
D-412-C-20,,ANP,,,,,
D-412-C-30,,ANP,,,,,
D-412-C-30-T1,,ANP,,,,,
D-412-C-5,,ANP,,,,,
D-412-C-60,,ANP,,,,,
D-412-C-T1,,ANP,,,,,
D-501-X-10,,ANP,,,,,
D-501-X-20,,ANP,,,,,
D-501-X-30,,ANP,,,,,
D-501-X-30-T1,,ANP,,,,,
D-501-X-5,,ANP,,,,,
D-501-X-60,,ANP,,,,,
D-501-X-T1,,ANP,,,,,
D-502-S-10,,ANP,,,,,
D-502-S-20,,ANP,,,,,
D-502-S-30,,ANP,,,,,
D-502-S-30-T1,,ANP,,,,,
D-502-S-5,,ANP,,,,,
D-502-S-60,,ANP,,,,,
D-502-S-T1,,ANP,,,,,
D-503-C-10,,ANP,,,,,
D-503-C-20,,ANP,,,,,
D-503-C-30,,ANP,,,,,
D-503-C-30-T1,,ANP,,,,,
D-503-C-5,,ANP,,,,,
D-503-C-60,,ANP,,,,,
D-503-C-T1,,ANP,,,,,
D-504-X-10,,ANP,,,,,
D-504-X-20,,ANP,,,,,
D-504-X-30,,ANP,,,,,
D-504-X-30-T1,,ANP,,,,,
D-504-X-5,,ANP,,,,,
D-504-X-60,,ANP,,,,,
D-504-X-T1,,ANP,,,,,
