SampleID,TotalColiformsCulturableColilert_CFUPer100ml,DetectionLevel,,
C-106-P-30-T1,241960,TNTC,,
C-106-P-60,241960,TNTC,,
C-106-P-T1,241960,TNTC,,
C-105-X-5,4839.2,TNTC,,
C-105-X-10,4839.2,TNTC,,
C-105-X-20,4839.2,TNTC,,
C-105-X-30,4839.2,TNTC,,
C-105-X-30-T1,4839.2,TNTC,,
C-105-X-60,4839.2,TNTC,,
C-105-X-T1,4839.2,TNTC,,
C-503-C-5,241960,TNTC,,
C-503-C-10,241960,TNTC,,
C-503-C-20,241960,TNTC,,
C-503-C-30,241960,TNTC,,
C-503-C-30-T1,241960,TNTC,,
C-503-C-60,241960,TNTC,,
C-503-C-T1,241960,TNTC,,
C-504-X-5,4839.2,TNTC,,
C-504-X-10,4839.2,TNTC,,
C-504-X-20,4839.2,TNTC,,
C-504-X-30,4839.2,TNTC,,
C-504-X-30-T1,4839.2,TNTC,,
C-504-X-60,4839.2,TNTC,,
C-504-X-T1,4839.2,TNTC,,
C-401-S-5,4839.2,TNTC,,
C-401-S-10,4839.2,TNTC,,
C-401-S-20,4839.2,TNTC,,
C-401-S-30,4839.2,TNTC,,
C-401-S-30-T1,4839.2,TNTC,,
C-401-S-60,4839.2,TNTC,,
C-401-S-T1,4839.2,TNTC,,
C-402-X-5,24196,TNTC,,
C-402-X-10,24196,TNTC,,
C-402-X-20,24196,TNTC,,
C-402-X-30,24196,TNTC,,
C-402-X-30-T1,24196,TNTC,,
C-402-X-60,24196,TNTC,,
C-402-X-T1,24196,TNTC,,
C-201-P-5,2419600,TNTC,,
C-201-P-10,2419600,TNTC,,
C-201-P-20,2419600,TNTC,,
C-201-P-30,2419600,TNTC,,
C-201-P-30-T1,2419600,TNTC,,
C-201-P-60,2419600,TNTC,,
C-201-P-T1,2419600,TNTC,,
C-202-S-5,4839.2,TNTC,,
C-202-S-10,4839.2,TNTC,,
C-202-S-20,4839.2,TNTC,,
C-202-S-30,4839.2,TNTC,,
C-202-S-30-T1,4839.2,TNTC,,
C-202-S-60,4839.2,TNTC,,
C-202-S-T1,4839.2,TNTC,,
C-403-C-5,4839.2,TNTC,,
C-403-C-10,4839.2,TNTC,,
C-403-C-20,4839.2,TNTC,,
C-403-C-30,4839.2,TNTC,,
C-403-C-30-T1,4839.2,TNTC,,
C-403-C-60,4839.2,TNTC,,
C-403-C-T1,4839.2,TNTC,,
C-403-C-DRIP,4839.2,TNTC,,
C-404-P-5,2419600,TNTC,,
C-404-P-10,2419600,TNTC,,
C-404-P-20,2419600,TNTC,,
C-404-P-30,2419600,TNTC,,
C-404-P-30-T1,980400,WR,,
C-404-P-60,686700,WR,,
C-404-P-T1,980400,WR,,
C-404-P-DRIP,2419600,TNTC,,
C-409-C-5,4839.2,TNTC,,
C-409-C-10,4839.2,TNTC,,
C-409-C-20,4839.2,TNTC,,
C-409-C-30,4839.2,TNTC,,
C-409-C-30-T1,4839.2,TNTC,,
C-409-C-60,4839.2,TNTC,,
C-409-C-T1,4839.2,TNTC,,
C-409-C-DRIP,4839.2,TNTC,,
C-410-S-5,4839.2,TNTC,,
C-410-S-10,4839.2,TNTC,,
C-410-S-20,4839.2,TNTC,,
C-410-S-30,4839.2,TNTC,,
C-410-S-30-T1,4839.2,TNTC,,
C-410-S-60,4839.2,TNTC,,
C-410-S-T1,4839.2,TNTC,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
