SampleID,TotalColiformsCulturableColilert_CFUPer100ml,DetectionLevel
D-407-X-20,4839.2,TNTC
D-407-X-30,4839.2,TNTC
D-407-X-30-T1,4839.2,TNTC
D-407-X-5,4839.2,TNTC
D-407-X-60,4839.2,TNTC
D-407-X-T1,4839.2,TNTC
D-408-P-10,4839.2,TNTC
D-408-P-20,4839.2,TNTC
D-408-P-30,4839.2,TNTC
D-408-P-30-T1,4839.2,TNTC
D-408-P-5,4839.2,TNTC
D-408-P-60,4839.2,TNTC
D-408-P-T1,4839.2,TNTC
D-409-C-10,24196,TNTC
D-409-C-20,24196,TNTC
D-409-C-30,24196,TNTC
D-409-C-30-T1,,ANP
D-409-C-5,24196,TNTC
D-409-C-60,24196,TNTC
D-409-C-T1,24196,TNTC
D-410-S-10,24196,TNTC
D-410-S-20,24196,TNTC
D-410-S-30,24196,TNTC
D-410-S-30-T1,24196,TNTC
D-410-S-5,24196,TNTC
D-410-S-60,24196,TNTC
D-410-S-T1,24196,TNTC
D-411-S-10,241960,TNTC
D-411-S-20,24196,TNTC
D-411-S-30,241960,TNTC
D-411-S-30-T1,241960,TNTC
D-411-S-5,126675,WR
D-411-S-60,241960,TNTC
D-411-S-T1,241960,TNTC
D-412-C-10,2419600,TNTC
D-412-C-20,613100,WR
D-412-C-30,462815,WR
D-412-C-30-T1,648800,WR
D-412-C-5,2419600,TNTC
D-412-C-60,325500,WR
D-412-C-T1,770100,WR
D-501-X-10,2419.6,TNTC
D-501-X-20,2419.6,TNTC
D-501-X-30,2419.6,TNTC
D-501-X-30-T1,2419.6,TNTC
D-501-X-5,2419.6,TNTC
D-501-X-60,2419.6,TNTC
D-501-X-T1,2419.6,TNTC
D-502-S-10,24196,TNTC
D-502-S-20,24196,TNTC
D-502-S-30,24196,TNTC
D-502-S-30-T1,24196,TNTC
D-502-S-5,24196,TNTC
D-502-S-60,24196,TNTC
D-502-S-T1,24196,TNTC
D-503-C-10,241960,TNTC
D-503-C-20,241960,TNTC
D-503-C-30,241960,TNTC
D-503-C-30-T1,241960,TNTC
D-503-C-5,122695.3333,WR
D-503-C-60,241960,TNTC
D-503-C-T1,241960,TNTC
D-504-X-10,4839.2,TNTC
D-504-X-20,4839.2,TNTC
D-504-X-30,4839.2,TNTC
D-504-X-30-T1,4839.2,TNTC
D-504-X-5,4839.2,TNTC
D-504-X-60,4839.2,TNTC
D-504-X-T1,4839.2,TNTC
