SampleID,TotalColiformsCulturableColilert_MPNPer100ml,DetectionLevel,,
B-201-P-5,24196000,TNTC,,
B-201-P-10,24196000,TNTC,,
B-201-P-20,24196000,TNTC,,
B-201-P-30,24196000,TNTC,,
B-201-P-60,24196000,TNTC,,
B-201-P-T1,24196000,TNTC,,
B-202-S-5,483920,TNTC,,
B-202-S-10,483920,TNTC,,
B-202-S-20,483920,TNTC,,
B-202-S-30,483920,TNTC,,
B-202-S-60,483920,TNTC,,
B-202-S-T1,483920,TNTC,,
B-403-C-5,104620000,WR,,
B-403-C-10,92080000,WR,,
B-403-C-20,46110000,WR,,
B-403-C-30,24098000,WR,,
B-403-C-60,16301500,WR,,
B-403-C-T1,6715500,WR,,
B-404-P-5,24196000,TNTC,,
B-404-P-10,24196000,TNTC,,
B-404-P-20,24196000,TNTC,,
B-404-P-30,24196000,TNTC,,
B-404-P-60,24196000,TNTC,,
B-404-P-T1,24196000,TNTC,,
B-409-C-5,77010000,WR,,
B-409-C-10,92080000,WR,,
B-409-C-20,38730000,WR,,
B-409-C-30,41060000,WR,,
B-409-C-60,24503000,WR,,
B-409-C-T1,15379500,WR,,
B-410-S-5,483920,TNTC,,
B-410-S-10,483920,TNTC,,
B-410-S-20,483920,TNTC,,
B-410-S-30,483920,TNTC,,
B-410-S-60,483920,TNTC,,
B-410-S-T1,483920,TNTC,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
