SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
C-206-P-30-T2,206,C,2,R_206_C,M_P_Day2_C_Spiked,2062,187,30,
C-206-P-60,206,C,1,R_206_C,M_P_Day2_C_Spiked,579,212,60,
C-206-P-T1,206,C,2,R_206_C,M_P_Day2_C_Spiked,615,217,60,
C-206-P-T2,206,C,2,R_206_C,M_P_Day2_C_Spiked,3162,217,60,
C-405-X-5,405,C,1,R_405_C,M_X_Day3_C,415,91,5,
C-405-X-10,405,C,1,R_405_C,M_X_Day3_C,736,96,10,
C-405-X-15,405,C,1,R_405_C,M_X_Day3_C,974,101,15,
C-405-X-20,405,C,1,R_405_C,M_X_Day3_C,727,106,20,
C-405-X-30,405,C,1,R_405_C,M_X_Day3_C,687,116,30,
C-405-X-30-T1,405,C,2,R_405_C,M_X_Day3_C,543,121,30,
C-405-X-30-T2,405,C,2,R_405_C,M_X_Day3_C,4462,121,30,
C-405-X-60,405,C,1,R_405_C,M_X_Day3_C,700,146,60,
C-405-X-T1,405,C,2,R_405_C,M_X_Day3_C,697,151,60,
C-405-X-T2,405,C,2,R_405_C,M_X_Day3_C,8162,151,60,
C-406-S-5,406,C,1,R_406_C,M_P_Day3_C_Spiked,568,97,5,
C-406-S-10,406,C,1,R_406_C,M_P_Day3_C_Spiked,611,102,10,
C-406-S-15,406,C,1,R_406_C,M_P_Day3_C_Spiked,958,107,15,
C-406-S-20,406,C,1,R_406_C,M_P_Day3_C_Spiked,547,112,20,
C-406-S-30,406,C,1,R_406_C,M_P_Day3_C_Spiked,501,122,30,
C-406-S-30-T1,406,C,2,R_406_C,M_P_Day3_C_Spiked,722,127,30,
C-406-S-30-T2,406,C,2,R_406_C,M_P_Day3_C_Spiked,7262,127,30,
C-406-S-60,406,C,1,R_406_C,M_P_Day3_C_Spiked,564,152,60,
C-406-S-T1,406,C,2,R_406_C,M_P_Day3_C_Spiked,906,157,60,
C-406-S-T2,406,C,2,R_406_C,M_P_Day3_C_Spiked,10562,157,60,
C-411-S-5,411,C,1,R_411_C,M_S_Day3_C_Spiked,330,164,5,
C-411-S-10,411,C,1,R_411_C,M_S_Day3_C_Spiked,476,169,10,
C-411-S-15,411,C,1,R_411_C,M_S_Day3_C_Spiked,536,174,15,
C-411-S-20,411,C,1,R_411_C,M_S_Day3_C_Spiked,620,179,20,
C-411-S-30,411,C,1,R_411_C,M_S_Day3_C_Spiked,558,189,30,
C-411-S-30-T1,411,C,2,R_411_C,M_S_Day3_C_Spiked,,194,30,
C-411-S-30-T2,411,C,2,R_411_C,M_S_Day3_C_Spiked,562,194,30,
C-411-S-60,411,C,1,R_411_C,M_S_Day3_C_Spiked,515,219,60,
C-411-S-T1,411,C,2,R_411_C,M_S_Day3_C_Spiked,613,224,60,
C-411-S-T2,411,C,2,R_411_C,M_S_Day3_C_Spiked,3462,224,60,
C-412-C-5,412,C,1,R_412_C,M_C_Day3_C_Spiked,333,168,5,
C-412-C-10,412,C,1,R_412_C,M_C_Day3_C_Spiked,455,173,10,
C-412-C-15,412,C,1,R_412_C,M_C_Day3_C_Spiked,900,178,15,
C-412-C-20,412,C,1,R_412_C,M_C_Day3_C_Spiked,563,183,20,
C-412-C-30,412,C,1,R_412_C,M_C_Day3_C_Spiked,539,193,30,
C-412-C-30-T1,412,C,2,R_412_C,M_C_Day3_C_Spiked,309,198,30,
C-412-C-30-T2,412,C,2,R_412_C,M_C_Day3_C_Spiked,1862,198,30,
C-412-C-60,412,C,1,R_412_C,M_C_Day3_C_Spiked,582,223,60,
C-412-C-T1,412,C,2,R_412_C,M_C_Day3_C_Spiked,823,228,60,
C-412-C-T2,412,C,2,R_412_C,M_C_Day3_C_Spiked,3962,228,60,
C-502-S-5,502,C,1,R_502_C,M_X_Day1_C,496,84,5,
C-502-S-10,502,C,1,R_502_C,M_X_Day1_C,629,89,10,
C-502-S-15,502,C,1,R_502_C,M_X_Day1_C,899,94,15,
C-502-S-20,502,C,1,R_502_C,M_X_Day1_C,654,99,20,
C-502-S-30,502,C,1,R_502_C,M_X_Day1_C,672,109,30,
C-502-S-30-T1,502,C,2,R_502_C,M_X_Day1_C,436,114,30,
C-502-S-30-T2,502,C,2,R_502_C,M_X_Day1_C,1562,114,30,
C-502-S-60,502,C,1,R_502_C,M_X_Day1_C,610,139,60,
C-502-S-T1,502,C,2,R_502_C,M_X_Day1_C,895,144,60,
C-502-S-T2,502,C,2,R_502_C,M_X_Day1_C,5762,144,60,
C-501-X-5,501,C,1,R_501_C,M_S_Day1_C_Spiked,386,145,5,
C-501-X-10,501,C,1,R_501_C,M_S_Day1_C_Spiked,392,150,10,
C-501-X-15,501,C,1,R_501_C,M_S_Day1_C_Spiked,765,155,15,
C-501-X-20,501,C,1,R_501_C,M_S_Day1_C_Spiked,365,160,20,
C-501-X-30,501,C,1,R_501_C,M_S_Day1_C_Spiked,373,170,30,
C-501-X-30-T1,501,C,2,R_501_C,M_S_Day1_C_Spiked,397,175,30,
C-501-X-30-T2,501,C,2,R_501_C,M_S_Day1_C_Spiked,962,175,30,
C-501-X-60,501,C,1,R_501_C,M_S_Day1_C_Spiked,547,200,60,
C-501-X-T1,501,C,2,R_501_C,M_S_Day1_C_Spiked,587,205,60,
C-501-X-T2,501,C,2,R_501_C,M_S_Day1_C_Spiked,2362,205,60,
C-107-C-5,107,C,1,R_107_C,M_C_Day1_C_Spiked,318,160,5,
C-107-C-10,107,C,1,R_107_C,M_C_Day1_C_Spiked,362,165,10,
C-107-C-15,107,C,1,R_107_C,M_C_Day1_C_Spiked,426,170,15,
C-107-C-20,107,C,1,R_107_C,M_C_Day1_C_Spiked,458,175,20,
C-107-C-30,107,C,1,R_107_C,M_C_Day1_C_Spiked,592,185,30,
C-107-C-30-T1,107,C,2,R_107_C,M_C_Day1_C_Spiked,327,190,30,
C-107-C-30-T2,107,C,2,R_107_C,M_C_Day1_C_Spiked,862,190,30,
C-107-C-60,107,C,1,R_107_C,M_C_Day1_C_Spiked,578,215,60,
C-107-C-T1,107,C,2,R_107_C,M_C_Day1_C_Spiked,325,220,60,
C-107-C-T2,107,C,2,R_107_C,M_C_Day1_C_Spiked,2462,220,60,
