SampleID,EColiCulturableColilert_MPNPer100ML,DetectionLevel,,,,,,,,,,,,,,,
B-206-P-20,200,WR,,,,,,,,,,,,,,,
B-206-P-30,222.3,WR,,,,,,,,,,,,,,,
B-206-P-60,183.4,WR,,,,,,,,,,,,,,,
B-206-P-T1,410,WR,,,,,,,,,,,,,,,
B-405-X-5,0.5,BDL,,,,,,,,,,,,,,,
B-405-X-10,0.5,BDL,,,,,,,,,,,,,,,
B-405-X-20,0.5,BDL,,,,,,,,,,,,,,,
B-405-X-30,0.5,BDL,,,,,,,,,,,,,,,
B-405-X-60,0.5,BDL,,,,,,,,,,,,,,,
B-405-X-T1,0.5,BDL,,,,,,,,,,,,,,,
B-406-S-5,0.5,BDL,,,,,,,,,,,,,,,
B-406-S-10,0.5,BDL,,,,,,,,,,,,,,,
B-406-S-20,0.5,BDL,,,,,,,,,,,,,,,
B-406-S-30,0.5,BDL,,,,,,,,,,,,,,,
B-406-S-60,0.5,BDL,,,,,,,,,,,,,,,
B-406-S-T1,0.5,BDL,,,,,,,,,,,,,,,
B-411-S-5,68,WR,,,,,,,,,,,,,,,
B-411-S-10,110.2,WR,,,,,,,,,,,,,,,
B-411-S-20,237.2,WR,,,,,,,,,,,,,,,
B-411-S-30,59.2,WR,,,,,,,,,,,,,,,
B-411-S-60,70.4,WR,,,,,,,,,,,,,,,
B-411-S-T1,310.6,WR,,,,,,,,,,,,,,,
B-412-C-5,2419600,WR,,,,,,,,,,,,,,,
B-412-C-10,1553100,WR,,,,,,,,,,,,,,,
B-412-C-20,1413600,WR,,,,,,,,,,,,,,,
B-412-C-30,866400,WR,,,,,,,,,,,,,,,
B-412-C-60,770100,WR,,,,,,,,,,,,,,,
B-412-C-T1,1119900,WR,,,,,,,,,,,,,,,
B-502-S-5,0.5,BDL,,,,,,,,,,,,,,,
B-502-S-10,0.5,BDL,,,,,,,,,,,,,,,
B-502-S-20,0.5,BDL,,,,,,,,,,,,,,,
B-502-S-30,0.5,BDL,,,,,,,,,,,,,,,
B-502-S-60,0.5,BDL,,,,,,,,,,,,,,,
B-502-S-T1,0.5,BDL,,,,,,,,,,,,,,,
B-501-X-5,0.5,BDL,,,,,,,,,,,,,,,
B-501-X-10,0.5,BDL,,,,,,,,,,,,,,,
B-501-X-20,0.5,BDL,,,,,,,,,,,,,,,
B-501-X-30,0.5,BDL,,,,,,,,,,,,,,,
B-501-X-60,0.5,BDL,,,,,,,,,,,,,,,
B-501-X-T1,0.5,BDL,,,,,,,,,,,,,,,
B-107-C-5,1046200,WR,,,,,,,,,,,,,,,
B-107-C-10,1299700,WR,,,,,,,,,,,,,,,
B-107-C-20,1732900,WR,,,,,,,,,,,,,,,
B-107-C-30,1203300,WR,,,,,,,,,,,,,,,
B-107-C-60,770100,WR,,,,,,,,,,,,,,,
B-107-C-T1,1203300,WR,,,,,,,,,,,,,,,
B-108-P-5,7665,WR,,,,,,,,,,,,,,,
B-108-P-10,6570,WR,,,,,,,,,,,,,,,
B-108-P-20,8090,WR,,,,,,,,,,,,,,,
B-108-P-30,11780,WR,,,,,,,,,,,,,,,
B-108-P-60,7670,WR,,,,,,,,,,,,,,,
B-108-P-T1,7940,WR,,,,,,,,,,,,,,,
B-209-C-5,133560,WR,,,,,,,,,,,,,,,
B-209-C-10,244765,WR,,,,,,,,,,,,,,,
B-209-C-20,435200,WR,,,,,,,,,,,,,,,
B-209-C-30,293380,WR,,,,,,,,,,,,,,,
B-209-C-60,160865,WR,,,,,,,,,,,,,,,
B-209-C-T1,209795,WR,,,,,,,,,,,,,,,
B-210-S-5,19.23333333,WR,,,,,,,,,,,,,,,
B-210-S-10,13,WR,,,,,,,,,,,,,,,
B-210-S-20,22.85,WR,,,,,,,,,,,,,,,
B-210-S-30,30.9,WR,,,,,,,,,,,,,,,
B-210-S-60,30.75,WR,,,,,,,,,,,,,,,
B-210-S-T1,18.4,WR,,,,,,,,,,,,,,,
B-111-S-5,6.15,WR,,,,,,,,,,,,,,,
B-111-S-10,2.55,WR,,,,,,,,,,,,,,,
B-111-S-20,2,WR,,,,,,,,,,,,,,,
B-111-S-30,1,WR,,,,,,,,,,,,,,,
B-111-S-60,2,WR,,,,,,,,,,,,,,,
B-111-S-T1,1,WR,,,,,,,,,,,,,,,
B-112-P-5,4320.866667,WR,,,,,,,,,,,,,,,
B-112-P-10,61310,WR,,,,,,,,,,,,,,,
B-112-P-20,4214.6,WR,,,,,,,,,,,,,,,
B-112-P-30,1775.8,WR,,,,,,,,,,,,,,,
B-112-P-60,415.4,WR,,,,,,,,,,,,,,,
B-112-P-T1,1145.1,WR,,,,,,,,,,,,,,,
B-307-C-5,215063.3333,WR,,,,,,,,,,,,,,,
B-307-C-10,201615,WR,,,,,,,,,,,,,,,
B-307-C-20,187345,WR,,,,,,,,,,,,,,,
B-307-C-30,148330,WR,,,,,,,,,,,,,,,
B-307-C-60,136035,WR,,,,,,,,,,,,,,,
B-307-C-T1,145680,WR,,,,,,,,,,,,,,,
B-308-X-5,106.3,WR,,,,,,,,,,,,,,,
B-308-X-10,36.6,WR,,,,,,,,,,,,,,,
B-308-X-20,24,WR,,,,,,,,,,,,,,,
B-308-X-30,34.6,WR,,,,,,,,,,,,,,,
B-308-X-60,112.2,WR,,,,,,,,,,,,,,,
B-308-X-T1,49.2,WR,,,,,,,,,,,,,,,
B-407-X-5,0.5,BDL,,,,,,,,,,,,,,,
B-407-X-10,0.5,BDL,,,,,,,,,,,,,,,
B-407-X-20,0.5,BDL,,,,,,,,,,,,,,,
B-407-X-30,0.5,BDL,,,,,,,,,,,,,,,
B-407-X-60,0.5,BDL,,,,,,,,,,,,,,,
B-407-X-T1,0.5,BDL,,,,,,,,,,,,,,,
B-408-P-5,207,WR,,,,,,,,,,,,,,,
B-408-P-10,66.1,WR,,,,,,,,,,,,,,,
B-408-P-20,81.5,WR,,,,,,,,,,,,,,,
B-408-P-30,26.4,WR,,,,,,,,,,,,,,,
B-408-P-60,56.3,WR,,,,,,,,,,,,,,,
B-408-P-T1,40.2,WR,,,,,,,,,,,,,,,
B-106-P-5,121500,WR,,,,,,,,,,,,,,,
B-106-P-10,92730,WR,,,,,,,,,,,,,,,
B-106-P-20,169340,WR,,,,,,,,,,,,,,,
B-106-P-30,111230,WR,,,,,,,,,,,,,,,
B-106-P-60,34850,WR,,,,,,,,,,,,,,,
B-106-P-T1,49590,WR,,,,,,,,,,,,,,,
B-105-X-5,0.5,BDL,,,,,,,,,,,,,,,
B-105-X-10,0.5,BDL,,,,,,,,,,,,,,,
B-105-X-20,0.5,BDL,,,,,,,,,,,,,,,
B-105-X-30,0.5,BDL,,,,,,,,,,,,,,,
B-105-X-60,0.5,BDL,,,,,,,,,,,,,,,
B-105-X-T1,0.5,BDL,,,,,,,,,,,,,,,
B-503-C-5,8162000,WR,,,,,,,,,,,,,,,
B-503-C-10,18546500,WR,,,,,,,,,,,,,,,
B-503-C-20,41060000,WR,,,,,,,,,,,,,,,
B-503-C-30,46110000,WR,,,,,,,,,,,,,,,
B-503-C-60,25311500,WR,,,,,,,,,,,,,,,
B-503-C-T1,41060000,WR,,,,,,,,,,,,,,,
B-504-X-5,3475.266667,WR,,,,,,,,,,,,,,,
B-504-X-10,2408.6,WR,,,,,,,,,,,,,,,
B-504-X-20,2198.3,WR,,,,,,,,,,,,,,,
B-504-X-30,1007.2,WR,,,,,,,,,,,,,,,
B-504-X-60,1541.4,WR,,,,,,,,,,,,,,,
B-504-X-T1,1985.4,WR,,,,,,,,,,,,,,,
B-401-S-5,0.5,BDL,,,,,,,,,,,,,,,
B-401-S-10,1,WR,,,,,,,,,,,,,,,
B-401-S-20,0.5,BDL,,,,,,,,,,,,,,,
B-401-S-30,0.5,BDL,,,,,,,,,,,,,,,
B-401-S-60,0.5,BDL,,,,,,,,,,,,,,,
B-401-S-T1,1,WR,,,,,,,,,,,,,,,
B-402-X-5,0.5,BDL,,,,,,,,,,,,,,,
B-402-X-10,0.5,BDL,,,,,,,,,,,,,,,
B-402-X-20,8.2,WR,,,,,,,,,,,,,,,
B-402-X-30,6,WR,,,,,,,,,,,,,,,
B-402-X-60,8.2,WR,,,,,,,,,,,,,,,
B-402-X-T1,8.2,WR,,,,,,,,,,,,,,,
B-201-P-5,157,WR,,,,,,,,,,,,,,,
B-201-P-10,0.5,BDL,,,,,,,,,,,,,,,
B-201-P-20,980,WR,,,,,,,,,,,,,,,
B-201-P-30,520,WR,,,,,,,,,,,,,,,
B-201-P-60,520.4,WR,,,,,,,,,,,,,,,
B-201-P-T1,484.7,WR,,,,,,,,,,,,,,,
B-202-S-5,0.5,BDL,,,,,,,,,,,,,,,
B-202-S-10,0.5,BDL,,,,,,,,,,,,,,,
B-202-S-20,0.5,BDL,,,,,,,,,,,,,,,
B-202-S-30,0.5,BDL,,,,,,,,,,,,,,,
B-202-S-60,0.5,BDL,,,,,,,,,,,,,,,
B-202-S-T1,0.5,BDL,,,,,,,,,,,,,,,
B-403-C-5,16558666.67,WR,,,,,,,,,,,,,,,
B-403-C-10,19433000,WR,,,,,,,,,,,,,,,
B-403-C-20,12878000,WR,,,,,,,,,,,,,,,
B-403-C-30,10539000,WR,,,,,,,,,,,,,,,
B-403-C-60,5170500,WR,,,,,,,,,,,,,,,
B-403-C-T1,5421500,WR,,,,,,,,,,,,,,,
B-404-P-5,83026.66667,WR,,,,,,,,,,,,,,,
B-404-P-10,38980,WR,,,,,,,,,,,,,,,
B-404-P-20,61270,WR,,,,,,,,,,,,,,,
B-404-P-30,124140,WR,,,,,,,,,,,,,,,
