SampleID,TotalColiformsCulturableColilert_MPNPer100ml,DetectionLevel,,
A-402-X-20,19136.3,WR,,
A-402-X-30,241960,TNTC,,
A-402-X-60,241960,WR,,
A-402-X-T1,241960,TNTC,,
A-201-P-5,140876.6667,WR,,
A-201-P-10,1203300,WR,,
A-201-P-20,2419600,TNTC,,
A-201-P-30,2419600,TNTC,,
A-201-P-60,2419600,TNTC,,
A-201-P-T1,2419600,TNTC,,
A-202-S-5,241960,TNTC,,
A-202-S-10,241960,TNTC,,
A-202-S-20,241960,TNTC,,
A-202-S-30,241960,TNTC,,
A-202-S-60,241960,TNTC,,
A-202-S-T1,241960,TNTC,,
A-403-C-5,2419600,TNTC,,
A-403-C-10,2419600,TNTC,,
A-403-C-20,2419600,TNTC,,
A-403-C-30,2419600,TNTC,,
A-403-C-60,2419600,TNTC,,
A-403-C-T1,2419600,TNTC,,
A-404-P-5,2419600,TNTC,,
A-404-P-10,2419600,TNTC,,
A-404-P-20,2419600,TNTC,,
A-404-P-30,2419600,TNTC,,
A-404-P-60,2419600,TNTC,,
A-404-P-T1,2419600,TNTC,,
A-409-C-5,2419600,TNTC,,
A-409-C-10,2419600,TNTC,,
A-409-C-20,2419600,TNTC,,
A-409-C-30,2419600,TNTC,,
A-409-C-60,2419600,TNTC,,
A-409-C-T1,2419600,TNTC,,
A-410-S-5,241960,TNTC,,
A-410-S-10,241960,TNTC,,
A-410-S-20,241960,TNTC,,
A-410-S-30,241960,TNTC,,
A-410-S-60,241960,TNTC,,
A-410-S-T1,241960,WR,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
