SampleID,TotalPhosphorus_MgPerLiter,DetectionLevel
B-109-C-5,,ANP
B-109-C-10,,ANP
B-109-C-20,,ANP
B-109-C-30,,ANP
B-109-C-60,,ANP
B-109-C-T1,,ANP
B-110-X-5,,ANP
B-110-X-10,,ANP
B-110-X-20,,ANP
B-110-X-30,,ANP
B-110-X-60,,ANP
B-110-X-T1,,ANP
B-101-S-5,,ANP
B-101-S-10,,ANP
B-101-S-20,,ANP
B-101-S-30,,ANP
B-101-S-60,,ANP
B-101-S-T1,,ANP
B-102-P-5,,ANP
B-102-P-10,,ANP
B-102-P-20,,ANP
B-102-P-30,,ANP
B-102-P-60,,ANP
B-102-P-T1,,ANP
B-203-P-5,,ANP
B-203-P-10,,ANP
B-203-P-20,,ANP
B-203-P-30,,ANP
B-203-P-60,,ANP
B-203-P-T1,,ANP
B-204-X-5,,ANP
B-204-X-10,,ANP
B-204-X-20,,ANP
B-204-X-30,,ANP
B-204-X-60,,ANP
B-204-X-T1,,ANP
B-205-C-5,,ANP
B-205-C-10,,ANP
B-205-C-20,,ANP
B-205-C-30,,ANP
B-205-C-60,,ANP
B-205-C-T1,,ANP
B-206-P-5,,ANP
B-206-P-10,,ANP
B-206-P-20,,ANP
B-206-P-30,,ANP
B-206-P-60,,ANP
B-206-P-T1,,ANP
B-405-X-5,,ANP
B-405-X-10,,ANP
B-405-X-20,,ANP
B-405-X-30,,ANP
B-405-X-60,,ANP
B-405-X-T1,,ANP
B-406-S-5,,ANP
B-406-S-10,,ANP
B-406-S-20,,ANP
B-406-S-30,,ANP
B-406-S-60,,ANP
B-406-S-T1,,ANP
B-411-S-5,,ANP
B-411-S-10,,ANP
B-411-S-20,,ANP
B-411-S-30,,ANP
B-411-S-60,,ANP
B-411-S-T1,,ANP
B-412-C-5,,ANP
B-412-C-10,,ANP
B-412-C-20,,ANP
B-412-C-30,,ANP
B-412-C-60,,ANP
B-412-C-T1,,ANP
B-502-S-5,,ANP
B-502-S-10,,ANP
B-502-S-20,,ANP
B-502-S-30,,ANP
B-502-S-60,,ANP
B-502-S-T1,,ANP
B-501-X-5,,ANP
B-501-X-10,,ANP
B-501-X-20,,ANP
B-501-X-30,,ANP
B-501-X-60,,ANP
B-501-X-T1,,ANP
B-107-C-5,,ANP
B-107-C-10,,ANP
B-107-C-20,,ANP
B-107-C-30,,ANP
B-107-C-60,,ANP
B-107-C-T1,,ANP
B-108-P-5,,ANP
B-108-P-10,,ANP
B-108-P-20,,ANP
B-108-P-30,,ANP
B-108-P-60,,ANP
B-108-P-T1,,ANP
B-209-C-5,,ANP
B-209-C-10,,ANP
B-209-C-20,,ANP
B-209-C-30,,ANP
B-209-C-60,,ANP
B-209-C-T1,,ANP
B-210-S-5,,ANP
B-210-S-10,,ANP
B-210-S-20,,ANP
B-210-S-30,,ANP
B-210-S-60,,ANP
B-210-S-T1,,ANP
B-111-S-5,,ANP
B-111-S-10,,ANP
B-111-S-20,,ANP
B-111-S-30,,ANP
B-111-S-60,,ANP
B-111-S-T1,,ANP
B-112-P-5,,ANP
B-112-P-10,,ANP
B-112-P-20,,ANP
B-112-P-30,,ANP
B-112-P-60,,ANP
B-112-P-T1,,ANP
B-307-C-5,,ANP
B-307-C-10,,ANP
B-307-C-20,,ANP
B-307-C-30,,ANP
B-307-C-60,,ANP
B-307-C-T1,,ANP
B-308-X-5,,ANP
B-308-X-10,,ANP
B-308-X-20,,ANP
B-308-X-30,,ANP
B-308-X-60,,ANP
B-308-X-T1,,ANP
B-407-X-5,,ANP
B-407-X-10,,ANP
B-407-X-20,,ANP
B-407-X-30,,ANP
B-407-X-60,,ANP
B-407-X-T1,,ANP
B-408-P-5,,ANP
B-408-P-10,,ANP
B-408-P-20,,ANP
B-408-P-30,,ANP
B-408-P-60,,ANP
B-408-P-T1,,ANP
